Name,Created,Description,Link,Tags
OMDb API,"August 7, 2024 5:50 PM",A RESTful web service to obtain movie information,https://www.omdbapi.com/,Movie
Google Books APIs,"August 7, 2024 6:06 PM","Google Books API can help application perform full-text searches and retrieve book information, viewability and eBook availability",https://developers.google.com/books,Book
