Name,Description,Link,Tags
OMDb API,A RESTful web service to obtain movie information,https://www.omdbapi.com/,Movie
Google Books APIs,"Google Books API can help application perform full-text searches and retrieve book information, viewability and eBook availability",https://developers.google.com/books,Book
